,Unnamed: 0,RTA_CODE,STATE,RTA_LOC_NAME,LOC_LONG_DESC,PV,TW,A1,A2,A3,A4,C1_a,C1_b,C2,C3,C4,FMV,ADDON1,ADDON2,ADDON3,ADDON4,ADDON5,ADDON6,ADDON7,ADDON8,ADDON9,MARKET_VALUE,C5,A5,A6
121,121,BR38,BIHAR,Araria,ARARIA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
122,122,BR39,BIHAR,Katihar,KATIHAR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
123,123,BR40,BIHAR,Deoghar,DEOGHAR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
124,124,BR41,JHARKHAND,Gumla,GUMLA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
125,125,BR42,JHARKHAND,Lohardaga,LOHARDAGA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
126,126,BR43,BIHAR,Madhepura,MADHEPURA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
127,127,BR44,BIHAR,Buxar,BUXAR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
128,128,BR45,BIHAR,Bhabua,BHABUA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
129,129,BR46,BIHAR,JAMUI,JAMUI,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
130,130,BR47,JHARKHAND,Koderma,KODERMA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
131,131,BR50,BIHAR,Supaul,SUPAUL,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
132,132,BR51,BIHAR,BANKA,BANKA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
133,133,BR52,BIHAR,SHEIKHPURA,SHEIKHPURA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
134,134,BR53,BIHAR,LAKHISARAI,LAKHISARAI,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
135,135,BR55,BIHAR,Sheohar,SHEOHAR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
136,136,BR56,BIHAR,JAHANABAD,JAHANABAD,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
137,137,BR57,BIHAR,ROHTAS,ROHTAS,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
138,138,CG01,CHHATTISGARH,GOVERNER,CHHATTISGATH GOVERNER,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
139,139,CG02,CHHATTISGARH,GOVERMENT,CHHATTISGARH GOVERMENT,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
140,140,CG03,CHHATTISGARH,POLICE,CHHATTISGARH POLICE,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
141,141,CG04,CHHATTISGARH,Raipur,RAIPUR,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,B,B,B
142,142,CG05,CHHATTISGARH,Dhamtari,Dhamtari,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
143,143,CG06,CHHATTISGARH,Mahasamund,MAHASAMUND,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
144,144,CG07,CHHATTISGARH,Durg,DURG,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
145,145,CG08,CHHATTISGARH,Rajanandgon,RAJANANDGON,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
146,146,CG09,CHHATTISGARH,KABIRDHAM,KABIRDHAM,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
147,147,CG10,CHHATTISGARH,Bilaspur,BILASPUR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
148,148,CG11,CHHATTISGARH,JANJGIR-CHAMPA,JANJGIR-CHAMPA,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
149,149,CG12,CHHATTISGARH,Kobra,KOBRA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
150,150,CG13,CHHATTISGARH,Raigarh,RAIGARH,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
151,151,CG14,CHHATTISGARH,Jashpur,JASHPUR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
152,152,CG15,CHHATTISGARH,Ambikapur,AMBIKAPUR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
153,153,CG16,CHHATTISGARH,Baikunthpur,BAIKUNTHPUR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
154,154,CG17,CHHATTISGARH,Jagdalpur,JAGDALPUR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
155,155,CG18,CHHATTISGARH,Dantewada,DANTEWADA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
156,156,CG19,CHHATTISGARH,Kanker,KANKER,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
157,157,CG20,CHHATTISGARH,BIJAPUR,BIJAPUR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
158,158,CG21,CHHATTISGARH,Narayanpur,NARAYANPUR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
159,159,CG22,CHHATTISGARH,Baloda Bazar,BALODA BAZAR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
160,160,CG23,CHHATTISGARH,GARIYABAND,GARIYABAND,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
161,161,CG24,CHHATTISGARH,Baloda Bazar,BALODA BAZAR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
162,162,CG25,CHHATTISGARH,Bemetara,BEMETARA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
163,163,CG26,CHHATTISGARH,Sukma,SUKMA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
164,164,CG27,CHHATTISGARH,Kondagaon,KONDAGAON,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
165,165,CG28,CHHATTISGARH,MUNGELI,MUNGELI,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
166,166,CG29,CHHATTISGARH,Surajpur,SURAJPUR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
167,167,CG30,CHHATTISGARH,Balrampur,BALRAMPUR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
168,168,CH01,HARYANA,Chandigarh,CHANDIGARH,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,B,B,B
169,169,CH02,HARYANA,CHANDIGARH,CHANDIGARH,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,B,B,B
170,170,CH03,HARYANA,CHANDIGARH,CHANDIGARH,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,B,B,B
171,171,CH04,HARYANA,CHANDIGARH,CHANDIGARH,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,B,B,B
172,172,CH05,CHANDIGARH,Bhedpuri,BHEDPURI,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,B,B,B
173,173,CH23,HARYANA,CHANDIGARH,CHANDIGARH,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,B,B,B
174,174,DD02,DAMAN and DIU,Diu,DIU,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,B,B,B
175,175,DD03,DAMAN and DIU,Daman,DAMAN,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,B,B,B
176,176,DD09,DAMAN and DIU,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,B,B,B
177,177,DL01,DELHI,Delhi North Hill Road,DELHI NORTH UNDER HILL ROAD,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,A,A,A
178,178,DL02,DELHI,New Delhi Tilak Marg / IP Depot,NEW DELHI TILAK MARG / IP Deport,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,A,A,A
179,179,DL03,DELHI,Delhi South Sheikh Sarai,DELHI SOUTH SHEIKH SARAI,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,A,A,A
180,180,DL04,DELHI,Delhi West Raja Garden,DELHI WEST RAJA GARDEN,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,A,A,A
181,181,DL04      ,DELHI,Delhi West  Janak Puri,DELHI WEST JANAK PURI,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,A,A,A
182,182,DL05,DELHI,Delhi North Loni Road,DELHI NORTH WEST LONI ROAD,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,A,A,A
183,183,DL06,DELHI,Delhi Central Sarai Kale Khan,DELHI CENTRAL SARAI KALE KHAN,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,A,A,A
184,184,DL07,DELHI,Delhi East Anand Vihar,DELHI EAST ANAND VIHAR,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,A,A,A
185,185,DL08,DELHI,North West Delhi  Wazirpur / Ashok Vihar  / Rohini,NORTH WEST DELHI  WAZIRPUR / ASHOK VIHAR  / ROHINI,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,A,A,A
186,186,DL09,DELHI,South West Delhi,South West Delhi,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,A,A,A
187,187,DL10,DELHI,Raja Garden,Raja Garden,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,A,A,A
188,188,DL11,DELHI,Delhi North West II Rohini,DELHI NORTH WEST II ROHINI,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,A,A,A
189,189,DL12,DELHI,Delhi South West II Vasant Vihar,DELHI SOUTH WEST II VASANT VIHAR,A,A,B,B,B,B,A,A,B,B,A,B,,,,,,,,,,,A,B,B
190,190,DL13,Delhi,SURAJMAL VIHAR/SHAHDARA,SURAJMAL VIHAR/SHAHDARA,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,A,A,A
191,191,DL14,Delhi,SONIPAT,SONIPAT,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,A,A,A
192,192,DL15,DELHI,Gurgaon,GURGAON,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,A,A,A
193,193,DL16,DELHI,Faridabad,FARIDABAD,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,A,A,A
194,194,DL17,DELHI,Noida,NOIDA,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,A,A,A
195,195,DL18,DELHI,Ghaziabad,GHAZIABAD,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,A,A,A
196,196,DN09,DADAR and NAGARA HAVELI,Dadar and Nagar Haveli,DADAR & NAGAR HAVELI,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
197,197,DN13,DADAR and NAGARA HAVELI,Surajmahal Vihar,SURAJMAHAL VIHAR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
198,198,FB23,,FATEHGARH,FATEHGARH SAHIB,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
199,199,GA01,GOA,North Goa,NORTH GOA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
200,200,GA02,GOA,South Goa,SOUTH GOA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
201,201,GA03,GOA,Mapusa ,MAPUSA ,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
202,202,GA04,GOA,Bicholim,BICHOLIM,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
203,203,GA05,GOA,Ponda ,PONDA ,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
204,204,GA06,GOA,Vasco,VASCO,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
205,205,GA07,GOA,Panaji,PANAJI,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,B,B,B
206,206,GA08,GOA,Margao,MARGAO,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
207,207,GA09,GOA,Quepem,QUEPEM,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
208,208,GA10,GOA,Canacona,CANACONA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
209,209,GA11,GOA,Pernem,PERNEM,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
210,210,GA12,GOA,Dharbandora,DHARBANDORA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
211,211,GJ01,GUJARAT,Ahmedabad,AHMEDABAD,A,A,C,C,C,C,C,C,C,C,A,C,,,,,,,,,,,C,C,C
212,212,GJ02,GUJARAT,Mehsana,MEHSANA,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
213,213,GJ03,GUJARAT,Rajkot,RAJKOT,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
214,214,GJ04,GUJARAT,Bhavnagar,BHAVNAGAR,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
215,215,GJ05,GUJARAT,Surat,SURAT,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
216,216,GJ06,GUJARAT,Vadodara,VADODARA,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
217,217,GJ07,GUJARAT,Kheda,KHEDA,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
218,218,GJ08,GUJARAT,Banaskantha,BANASKANTHA,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
219,219,GJ09,GUJARAT,Sabarkantha,SABARKANTHA,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
220,220,GJ10,GUJARAT,Jamnagar,JAMNAGAR,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
221,221,GJ11,GUJARAT,Junagadh,JUNAGADH,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
222,222,GJ12,GUJARAT,Kutch,KUTCH,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
223,223,GJ13,GUJARAT,Surendranagar,SURENDRANAGAR,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
224,224,GJ14,GUJARAT,Amreli,AMRELI,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
225,225,GJ15,GUJARAT,Valsad,VALSAD,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
226,226,GJ16,GUJARAT,Bharuch,BHARUCH,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
227,227,GJ17,GUJARAT,Godhara,GODHARA,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
228,228,GJ18,GUJARAT,Gandhinagar,GANDHINAGAR,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,B,B,B
229,229,GJ19,GUJARAT,Bardoli,BARDOLI,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
230,230,GJ20,GUJARAT,Dahod,DAHOD,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
231,231,GJ21,GUJARAT,Navsari,NAVSARI,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
232,232,GJ22,GUJARAT,Narmada,NARMADA,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
233,233,GJ23,GUJARAT,Anand,ANAND,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
234,234,GJ24,GUJARAT,Patan,PATAN,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
235,235,GJ25,GUJARAT,Porbandar,PORBANDAR,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
236,236,GJ26,GUJARAT,VYARA,VYARA GUJARAT,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
237,237,GJ27,GUJARAT,Ahmedabad East,AHMEDABAD EAST,A,A,B,B,B,B,A,A,B,B,A,B,,,,,,,,,,,A,B,B
238,238,GJ28,GUJARAT,Surat,SURAT,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
239,239,GJ29,GUJARAT,VADODARA,VADODARA,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
240,240,GJ30,GUJARAT,DANG,DANG,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
241,241,GJ31,GUJARAT,ARVALLI (MODASA),ARVALLI (MODASA),B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
242,242,GJ32,GUJARAT,Gir Somnath – Veraval,GIR SOMNATH – VERAVAL,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
243,243,GJ33,GUJARATH,BOTAD,BOTAD,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
244,244,GJ34,GUJARAT,CHHOTAUDAIPUR,CHHOTAUDAIPUR,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
245,245,GJ35,GUJARAT,Mahisagar,MAHISAGAR,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
246,246,GJ36,GUJARAT,MORBI,MORBI,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
247,247,GJ37,GUJARAT,DEVBHOOMI DWARKA,DEVBHOOMI DWARKA,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
248,248,GJ38,GUJARAT,Gir Somnath - Veraval,GIR SOMNATH - VERAVAL,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
249,249,HP01,HIMACHAL PRADESH,SHIMLA,SHIMLA (TOURIST BUSES & TAXIS),B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,B,B,B
250,250,HP02,HIMACHAL PRADESH,URBAN,URBAN (TOURIST BUSES & TAXIS),B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,B,B,B
251,251,HP03,HIMACHAL PRADESH,Shimla Urban,SHIMLA URBAN,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,B,B,B
252,252,HP04,HIMACHAL PRADESH,Dharamsala,DHARAMSALA (AUTO-RISK SHAWS),B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,B,B,B
253,253,HP05,HIMACHAL PRADESH,Mandi,MANDI (RIKSHAWS),B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
254,254,HP06,HIMACHAL PRADESH,Rampur,RAMPUR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
255,255,HP07,HIMACHAL PRADESH,Mandi,MANDI ( AUTO-RIKSHAWS),B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
256,256,HP08,HIMACHAL PRADESH,Chaupal,CHAUPAL,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
257,257,HP09,HIMACHAL PRADESH,Theog,THEOG,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
258,258,HP10,HIMACHAL PRADESH,Rohru,ROHRU,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
259,259,HP11,HIMACHAL PRADESH,Arki,ARKI,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
260,260,HP12,HIMACHAL PRADESH,Nalagarh,NALAGARH,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
261,261,HP13,HIMACHAL PRADESH,Kandaghat,KANDAGHAT,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
262,262,HP14,HIMACHAL PRADESH,Solan,SOLAN,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
263,263,HP15,HIMACHAL PRADESH,Parwanoo,PARWANOO,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
264,264,HP16,HIMACHAL PRADESH,Rajgarh,RAJGARH,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
265,265,HP17,HIMACHAL PRADESH,Paonta Sahib,PAONTA SAHIB,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
266,266,HP18,HIMACHAL PRADESH,Nahan,NAHAN,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
267,267,HP19,HIMACHAL PRADESH,AMB,AMB,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
268,268,HP20,HIMACHAL PRADESH,Una,UNA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
269,269,HP21,HIMACHAL PRADESH,Barsar,BARSAR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
270,270,HP22,HIMACHAL PRADESH,Hamirpur,HAMIRPUR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
271,271,HP23,HIMACHAL PRADESH,Ghumarwin,GHUMARWIN,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
272,272,HP24,HIMACHAL PRADESH,Bilaspur,BILASPUR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
273,273,HP25,HIMACHAL PRADESH,Kalpa,KALPA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
274,274,HP26,HIMACHAL PRADESH,Nichar,NICHAR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
275,275,HP27,HIMACHAL PRADESH,Pooh,POOH,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
276,276,HP28,HIMACHAL PRADESH,Sarkaghat,SARKAGHAT,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
277,277,HP29,HIMACHAL PRADESH,Jogendranagar,JOGENDRANAGAR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
278,278,HP30,HIMACHAL PRADESH,Karsog,KARSOG,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
279,279,HP31,HIMACHAL PRADESH,Sundernagar,SUNDERNAGAR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
280,280,HP32,HIMACHAL PRADESH,Gohar,GOHAR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
281,281,HP33,HIMACHAL PRADESH,Mandi,MANDI,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
282,282,HP34,HIMACHAL PRADESH,Kullu,KULLU,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
283,283,HP35,HIMACHAL PRADESH,ANI,ANI,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
284,284,HP36,HIMACHAL PRADESH,Dehra,DEHRA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
285,285,HP37,HIMACHAL PRADESH,Palampur,PALAMPUR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
286,286,HP38,HIMACHAL PRADESH,Noorpur,NOORPUR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
287,287,HP39,HIMACHAL PRADESH,Dharamsala,DHARAMSALA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
288,288,HP40,HIMACHAL PRADESH,Kangra,KANGRA / CHAMBA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
289,289,HP41,HIMACHAL PRADESH,Kaza,KAZA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
290,290,HP42,HIMACHAL PRADESH,Kelang,KELANG,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
291,291,HP43,HIMACHAL PRADESH,Udaipur,UDAIPUR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
292,292,HP44,HIMACHAL PRADESH,Churah,CHURAH,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
293,293,HP45,HIMACHAL PRADESH,Pangi,PANGI,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
294,294,HP46,HIMACHAL PRADESH,Bharmour,BHARMOUR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
295,295,HP47,HIMACHAL PRADESH,Dalhousie,DALHOUSIE,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
296,296,HP48,HIMACHAL PRADESH,Chamba,CHAMBA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
297,297,HP49,HIMACHAL PRADESH,Banjar,BANJAR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
298,298,HP50,HIMACHAL PRADESH,SHIMLA,SHIMLA (AUTO-RIKSHAWS),B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
299,299,HP51,HIMACHAL PRADESH,SHIM RUR,SHIMLA RURAL,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
300,300,HP52,HIMACHAL PRADESH,Shimla Rural,SHIMLA - RURAL,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
301,301,HP53,HIMACHAL PRADESH,Baijnath,BAIJNATH,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
302,302,HP54,HIMACHAL PRADESH,Jawali,JAWALI,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
303,303,HP55,HIMACHAL PRADESH,Nadaun,NADAUN / HAMIRPUR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
304,304,HP56,HIMACHAL PRADESH,JAISINGHPUR,JAISINGHPUR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
305,305,HP57,HIMACHAL PRADESH,CHOWARI,CHOWARI,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
306,306,HP58,HIMACHAL PRADESH,MANALI,MANALI,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
307,307,HP59,HIMACHAL PRADESH,Solan,SOLAN,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
308,308,HP60,HIMACHAL PRADESH,Hamirpur,HAMIRPUR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
