,Unnamed: 0,RTA_CODE,STATE,RTA_LOC_NAME,LOC_LONG_DESC,PV,TW,A1,A2,A3,A4,C1_a,C1_b,C2,C3,C4,FMV,ADDON1,ADDON2,ADDON3,ADDON4,ADDON5,ADDON6,ADDON7,ADDON8,ADDON9,MARKET_VALUE,C5,A5,A6
1239,1239,WB68,WEST BENGAL,Bankur,BANKUR (OTHER THAN TRANSPORT ),B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
1240,1240,WB69,WEST BENGAL,Alipur Duar,ALIPUR DAWAR (TRANSPORT VEHIC),B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
1241,1241,WB70,WEST BENGAL,Alipur Duar,ALIPUR DAWAR (OTHER THAN TRAP),B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
1242,1242,WB71,WEST BENGAL,Jalpaiguri,JALPAIGURI (TRANSPORT VAHI),B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
1243,1243,WB72,WEST BENGAL,Jalpaiguri,JALPAIGURI (OTHER THAN TRANS),B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
1244,1244,WB73,WEST BENGAL,Siliguri,SILIGURI (TRANSPORT VEHICLES),B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
1245,1245,WB74,WEST BENGAL,Siliguri,SILIGURI (OTHER THAN TRANSPORT,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
1246,1246,WB76,WEST BENGAL,Darjeeling,DARJEELING (TRANSPORT VEHICLES,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
1247,1247,WB77,WEST BENGAL,Darjeeling,DARJEELING (OTHER THAN TRANS),B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
1248,1248,WB78,WEST BENGAL,Kalimpong,KALIMPONG (TRANSPORT VEHICLES),B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
1249,1249,WB79,WEST BENGAL,Kalimpong,KALIMPONG (OTH THA TRANSPORT),B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
1250,1250,WB86,WEST BENGAL,Mathabhanga,MATHABHANGA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
1251,1251,WB90,WEST BENGAL,Kalyani,KALYANI,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
1252,1252,WB91,WEST BENGAL,UTTAR DINAJPUR,UTTAR DINAJPUR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
1253,1253,WB92,WEST BENGAL,Islampur,ISLAMPUR (OTHER THAN TRANS),B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,,,
1254,1254,WB96,WEST BENGAL,BARUIPUR,BARUIPUR,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
1255,1255,WB98,WEST BENGAL,Diamond Harbour,DAIMOND HARBOUR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,,,
