,Unnamed: 0,ITEM_CODE,MANUFACTURE,PRODUCT_TYPE,MODEL,VARIANT,EX_SHOWROOM_PRICE,CC,SEATING_CAPACITY,FUEL,TONNAGE,SEGMENT,STATE_DESC,STATE_CODE,UNIQUE_ID,IBB_CODE,IIB_TAC_CODE,BODY_TYPE,CREATED_BY,CREATED_ON,LAST_MODIFIED_BY,LAST_MODIFIED_ON
700,112615,TVS001,TVS,FTW,APACHE,160 CC,64796,160,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.567,,
701,112616,TVS001,TVS,FTW,FLAME,STD,42364,125,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.567,,
702,112617,TVS001,TVS,FTW,STARCITY,STAR,41780,100,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.567,,
703,112618,TVS001,TVS,FTW,STARCITY,MAG ES,44315,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.567,,
704,112619,TVS001,TVS,FTW,SPORT,CVTI STD,34840,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.567,,
705,112620,TVS001,TVS,FTW,SCOOTY,PEP PLUS FASHION,43003,90,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.567,,
706,112621,TVS001,TVS,FTW,SCOOTY,PEP PLUS ME,42290,90,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.570,,
707,112622,TVS001,TVS,FTW,SCOOTY,PEP PLUS WIMBELDON,36070,90,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.570,,
708,112623,TVS001,TVS,FTW,FLAME,ES 125 CC DISC,47680,125,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.570,,
709,112624,TVS152,TVS,FTW,VICTOR,SELF,53625,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.570,,
710,112625,TVS001,TVS,FTW,APACHE,RTR 160 R.D,71055,160,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.570,,
711,112626,TVS001,TVS,FTW,APACHE,RTR 180 R.D,81100,180,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.570,,
712,112627,TVS001,TVS,FTW,STREAK,AP RED,41000,90,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.570,,
713,112628,TVS001,TVS,FTW,SUZUKI,STD,33500,148,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.570,,
714,112629,TVS001,TVS,FTW,FLAME,DS,49120,125,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.570,,
715,112630,TVS137,TVS,FTW,STARCITY,PLUS GOLD SPL ED,51705,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.570,,
716,112631,TVS138,TVS,FTW,SPORT,CVTI ES,47220,100,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.573,,
717,112632,TVS153,TVS,FTW,SPORT,ES MAG,40025,100,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.573,,
718,112633,TVS149,TVS,FTW,STAR,SPORT ES,47341,100,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.573,,
719,112634,TVS143,TVS,FTW,VICTOR,DRUM,49490,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.573,,
720,112635,TVS144,TVS,FTW,VICTOR,DISC,51490,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.573,,
721,112636,TVS141,TVS,FTW,WEGO,V4,46415,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.573,,
722,112637,TVS151,TVS,FTW,JUPITER,DISC M.EDITION,57795,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.577,,
723,112638,TVS150,TVS,FTW,VICTOR,ES,51990,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.577,,
724,112639,TVS132,TVS,FTW,XL,HD,33509,70,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.577,,
725,112640,TVS123,TVS,FTW,SCOOTY,ZEST,51205,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.577,,
726,112641,TVS001,TVS,FTW,MAX,100,39000,98,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.577,,
727,112642,TVS001,TVS,FTW,STARCITY,PLUSE ES MAG,44300,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.577,,
728,112643,TVS003,TVS,FTW,STARCITY,SPOKE ES,42130,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.577,,
729,112644,TVS101,TVS,FTW,STARCITY,ES,44985,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.577,,
730,112645,TVS085,TVS,FTW,JIVE,STD,47085,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.580,,
731,112646,TVS102,TVS,FTW,APACHE,RTR 160 S.D,71300,160,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.580,,
732,112647,TVS049,TVS,FTW,APACHE,180 CC,73965,180,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.580,,
733,112648,TVS096,TVS,FTW,APACHE,RTR 180 ABS,85855,180,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.580,,
734,112649,TVS087,TVS,FTW,WEGO,STD,47827,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.580,,
735,112650,TVS045,TVS,FTW,SCOOTY,TEENZ,32500,90,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.580,,
736,112651,TVS013,TVS,FTW,SCOOTY,PEP PLUS,41100,90,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.580,,
737,112652,TVS104,TVS,FTW,SCOOTY,PEP PLUS BABLICIOUS,43700,90,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.580,,
738,112653,TVS126,TVS,FTW,JUPITER,MATT BEIGE,43836,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.580,,
739,112654,TVS127,TVS,FTW,JUPITER,VALCANO,43480,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.580,,
740,112655,TVS128,TVS,FTW,WEGO,V3,44868,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.583,,
741,112656,TVS019,TVS,FTW,XLSUPER,HD,28096,69,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.583,,
742,112657,TVS001,TVS,FTW,STARCITY,SPORT,37825,100,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.583,,
743,112658,TVS001,TVS,FTW,FIERO,F2 DISC,41640,147,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.583,,
744,112659,TVS001,TVS,FTW,FIERO,F2 DRUM,41018,147,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.583,,
745,112660,TVS001,TVS,FTW,SPORT,CVTI,43822,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.583,,
746,112661,TVS001,TVS,FTW,MAX,4R,41445,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.583,,
747,112662,TVS001,TVS,FTW,STAR,SPORT,44981,100,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.583,,
748,112663,TVS131,TVS,FTW,JUPITER,LE,55435,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.583,,
749,112664,TVS129,TVS,FTW,JUPITER,STALLION,48864,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.587,,
750,112665,TVS130,TVS,FTW,WEGO,V3 DUAL,47357,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.587,,
751,112666,TVS107,TVS,FTW,PHOENIX,125 DRUM BRAKE,54925,125,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.587,,
752,112667,TVS108,TVS,FTW,PHOENIX,125 DISC BRAKE,57045,125,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.587,,
753,112668,TVS109,TVS,FTW,SCOOTY,PEP PLUS REFRESH,42636,90,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.587,,
754,112669,TVS110,TVS,FTW,STREAK,REFRESH,44633,90,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.587,,
755,112670,TVS111,TVS,FTW,SPORT,KS,39925,100,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.587,,
756,112671,TVS121,TVS,FTW,WEGO,REFRESH,48987,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.587,,
757,112672,TVS125,TVS,FTW,STARCITY,PLUSE ES,50205,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.590,,
758,112673,TVS122,TVS,FTW,STARCITY,PLUSE 110 KS,36991,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.590,,
759,112674,TVS001,TVS,FTW,JIVE,MAG ES,48026,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.590,,
760,112675,TVS120,TVS,FTW,STARCITY,PLUS,49000,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.590,,
761,112676,TVS119,TVS,FTW,SAMURAI,STD,42500,100,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.590,,
762,112677,TVS001,TVS,FTW,FIERO,FX DISC,39626,147,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.590,,
763,112678,TVS001,TVS,FTW,FIERO,FX DRUM,38449,147,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.590,,
764,112679,TVS001,TVS,FTW,CENTRA,STD,36334,100,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.590,,
765,112680,TVS001,TVS,FTW,SCOOTY,ES,31048,87,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.590,,
766,112681,TVS001,TVS,FTW,SCOOTY,PEP,38131,87,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.590,,
767,112682,TVS001,TVS,FTW,STARCITY,STD,41780,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.593,,
768,112683,TVS001,TVS,FTW,STARCITY,ALLOY,42575,100,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.593,,
769,112684,TVS001,TVS,FTW,VICTOR,GX,37000,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.593,,
770,112685,TVS001,TVS,FTW,XLSUPER,STD,25300,69,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.593,,
771,112686,TVS001,TVS,FTW,STARCITY,SPOKE,41780,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.593,,
772,112687,TVS001,TVS,FTW,STARCITY,MAG,45798,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.593,,
773,112688,TVS001,TVS,FTW,STARCITY,SPOKE REF,41780,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.593,,
774,112689,TVS106,TVS,FTW,PHOENIX,125,60483,125,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.593,,
775,112690,TVS001,TVS,FTW,STARCITY,MAG REF,45798,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.593,,
776,112691,TVS001,TVS,FTW,STARCITY,SPOKE REF ES,41780,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.597,,
777,112692,TVS001,TVS,FTW,STARCITY,MAG REF ES,42575,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.597,,
778,112693,TVS001,TVS,FTW,FLAME,SR 125 ES DISC,49120,125,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.597,,
779,112694,TVS001,TVS,FTW,APACHE,RTR 160 CC,67116,160,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.597,,
780,112695,TVS001,TVS,FTW,APACHE,RTR 160 CC YELLOW,65832,160,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.597,,
781,112696,TVS001,TVS,FTW,APACHE,RTR 160 CC R.R YELLOW,66866,160,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.597,,
782,112697,TVS001,TVS,FTW,APACHE,RTR 160 CC FI,69141,160,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.597,,
783,112698,TVS001,TVS,FTW,APACHE,RTR 180 CC,74141,180,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.597,,
784,112699,TVS001,TVS,FTW,SCOOTY,TEENZ,31048,90,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.600,,
785,112700,TVS001,TVS,FTW,STREAK,BASE,36860,90,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.600,,
786,112701,TVS001,TVS,FTW,STREAK,FASHION,37360,90,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.600,,
787,112702,TVS001,TVS,FTW,VICTOR,GLX,35059,125,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.600,,
788,112703,TVS001,TVS,FTW,JIVE,110 ES,44945,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.600,,
789,112704,TVS112,TVS,FTW,WEGO,DRUM,50460,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.600,,
790,112705,TVS113,TVS,FTW,WEGO,BASIC,52146,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.600,,
791,112706,TVS114,TVS,FTW,WEGO,DISC,55600,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.600,,
792,112707,TVS001,TVS,FTW,SPORT,STD 100 C,39000,98,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.600,,
793,112708,TVS157,TVS,FTW,JUPITER,BSIV,44148,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.600,,
794,112709,TVS159,TVS,FTW,STARCITY,PLUS BSIV,43674,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.600,,
795,112710,TVS155,TVS,FTW,JUPITER,ZX BSIV DISC,49857,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.603,,
796,112711,TVS117,TVS,FTW,JUPITER,STD,60299,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.603,,
797,112712,TVS142,TVS,FTW,JUPITER,ZX,62300,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.603,,
798,112713,TVS156,TVS,FTW,JUPITER,MILLION R,65300,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.603,,
799,112714,TVS158,TVS,FTW,XL,100 BSIV,28120,100,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.603,,
800,112715,TVS001,TVS,FTW,SPORT,ES,41266,100,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.603,,
801,112716,TVS162,TVS,FTW,SCOOTY,ZEST MATTE EDI,51995,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.603,,
802,112717,TVS163,TVS,FTW,NTORQ,125 DISC,58750,125,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.603,,
803,112718,UMK001,UM BIKES,FTW,RENEGADE CLASSIC,STANDARD,169000,279,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.607,,
804,112719,UMK002,UM BIKES,FTW,RENEGADE COMMANDO,STANDARD,180525,279,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.607,,
805,112720,UMK003,UM BIKES,FTW,SPORT S,STANDARD,173602,279,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.607,,
806,112721,VIV001,VIBGYOR,FTW,GALLOP,97,36520,91,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.607,,
807,112722,VIV002,VIBGYOR,FTW,HUNTER,VV124,49822,125,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.607,,
808,112723,VIV003,VIBGYOR,FTW,SHARK,VV142,56346,142,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.607,,
809,112724,VIG001,VIBGYOR,FTW,HUNTER,W125,41600,125,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.607,,
810,112725,YAM130,YAMAHA,FTW,FZ,25,106222,249,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.607,,
811,112726,YAM118,YAMAHA,FTW,R15,S,99848,150,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.607,,
812,112727,YAM024,YAMAHA,FTW,FAZER,LE,82000,153,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.610,,
813,112728,YAM028,YAMAHA,FTW,FAZER,STD,84184,153,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.610,,
814,112729,YAM102,YAMAHA,FTW,YBR(125),125,53770,125,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.610,,
815,112730,YAM084,YAMAHA,FTW,SZ,X,59490,153,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.610,,
816,112731,YAM089,YAMAHA,FTW,SZ,STD,59490,153,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.610,,
817,112732,YAM085,YAMAHA,FTW,FZ,S,75290,153,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.610,,
818,112733,YAM107,YAMAHA,FTW,GLADIATOR,SS BLUE,54666,123,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.610,,
819,112734,YAM087,YAMAHA,FTW,SZ,16,75000,153,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.610,,
820,112735,YAM101,YAMAHA,FTW,YZF-R15,STD,119466,149,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.610,,
821,112736,YAM012,YAMAHA,FTW,CRUX,STD,40490,105,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.610,,
822,112737,YAM103,YAMAHA,FTW,GLADIATOR,DX,46832,123,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.613,,
823,112738,YAM036,YAMAHA,FTW,GLADIATOR,STD,42437,123,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.613,,
824,112739,YAM040,YAMAHA,FTW,LIBERO,G5 A/W,45000,106,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.613,,
825,112740,YAM041,YAMAHA,FTW,LIBERO,G5 S/W,45000,106,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.613,,
826,112741,YAM095,YAMAHA,FTW,ALBA,A/W,33484,106,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.613,,
827,112742,YAM096,YAMAHA,FTW,ALBA,S/W,30264,106,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.613,,
828,112743,YAM090,YAMAHA,FTW,SS,125,57790,125,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.613,,
829,112744,YAM108,YAMAHA,FTW,RAY,STD,47042,113,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.613,,
830,112745,YAM099,YAMAHA,FTW,ALPHA,STD,50000,113,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.617,,
831,112746,YAM092,YAMAHA,FTW,YBR,110,48490,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.617,,
832,112747,YAM098,YAMAHA,FTW,ALBA,E/S,41499,106,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.617,,
833,112748,YAM100,YAMAHA,FTW,ALBA,Spoke,39500,106,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.617,,
834,112749,YAM091,YAMAHA,FTW,G5,E/S,43480,106,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.617,,
835,112750,YAM088,YAMAHA,FTW,FZ,16,73000,153,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.617,,
836,112751,YAM070,YAMAHA,FTW,SZ,S,60664,153,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.617,,
837,112752,YAM071,YAMAHA,FTW,SZ,RR,71482,153,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.617,,
838,112753,YAM116,YAMAHA,FTW,RAY,Z,48500,113,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.620,,
839,112754,YAM086,YAMAHA,FTW,SZ,R,63000,153,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.620,,
840,112755,YAM117,YAMAHA,FTW,R15,V2,108427,150,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.620,,
841,112756,YAM002,YAMAHA,FTW,R15,STD,117600,150,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.620,,
842,112757,YAM003,YAMAHA,FTW,FZ,S V2,79641,150,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.620,,
843,112758,YAM004,YAMAHA,FTW,FZ,V2,77606,153,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.620,,
844,112759,YAM005,YAMAHA,FTW,FZ,FI,73000,149,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.620,,
845,112760,YAM006,YAMAHA,FTW,FZ,S FI,78000,153,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.620,,
846,112761,YAM007,YAMAHA,FTW,FZ,RG,77606,149,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.620,,
847,112762,YAM008,YAMAHA,FTW,FZ,S RG,79641,149,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.620,,
848,112763,YAM009,YAMAHA,FTW,FAZER,FI,77333,149,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.620,,
849,112764,YAM115,YAMAHA,FTW,FAZER,FI V2.0,91310,149,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.623,,
850,112765,YAM010,YAMAHA,FTW,FAZER,V2,74534,153,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.623,,
851,112766,YAM011,YAMAHA,FTW,SZ,RR V2,71482,149,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.623,,
852,112767,YAM068,YAMAHA,FTW,FAZER,RG,77085,149,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.623,,
853,112768,YAM104,YAMAHA,FTW,FASCINO,STD,50576,113,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.623,,
854,112769,YAM105,YAMAHA,FTW,SALUTO,STD,55000,125,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.623,,
855,112770,YAM109,YAMAHA,FTW,YZF,R3,323000,312,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.627,,
856,112771,YAM111,YAMAHA,FTW,FAZER,DLX,46832,123,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.627,,
857,112772,YAM112,YAMAHA,FTW,FZ,FI V2.0,80096,149,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.627,,
858,112773,YAM113,YAMAHA,FTW,GLADIATOR,GRAFFITI,53000,124,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.627,,
859,112774,YAM122,YAMAHA,FTW,ALPHA,CYGNUS BSIII,48936,113,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.627,,
860,112775,YAM120,YAMAHA,FTW,RAY,CYGNUS ZR,55300,113,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.627,,
861,112776,YAM121,YAMAHA,FTW,SALUTO,RX,48180,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.627,,
862,112777,YAM123,YAMAHA,FTW,ALPHA,SCPL,53794,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.627,,
863,112778,YAM124,YAMAHA,FTW,ALPHA,NEW,52663,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.630,,
864,112779,YAM125,YAMAHA,FTW,SALUTO,DISC,57785,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.630,,
865,112780,YAM126,YAMAHA,FTW,R15,V3,118397,155,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.630,,
866,112781,YAM127,YAMAHA,FTW,RAY,ZR DRUM,54556,113,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.630,,
867,112782,YAM128,YAMAHA,FTW,RAY,ZR DISC,57125,113,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.630,,
868,112783,YAM131,YAMAHA,FTW,FAZER,25,128335,249,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.630,,
869,112784,HON477,HONDA MOTORS,FTW,ACTIVA,5G,53000,110,2,P,,HONDA,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.630,,
870,112785,TVS164,TVS,FTW,APACHE,RTR 200 ABS,93685,197,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.630,,
871,112786,HER342,HERO MOTOR CORP,FTW,PASSIONPRO,DRUM SELF CAST,53460,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.630,,
872,112787,HON478,HONDA MOTORS,FTW,X BLADE,STD,77959,162,2,P,,HONDA,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.630,,
873,112788,HER343,HERO MOTOR CORP,FTW,SPLENDOR,I3S BSIV DRUM,56644,125,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.630,,
874,112789,HER344,HERO MOTOR CORP,FTW,PASSION,PRO DRS,53710,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.633,,
875,112790,HER345,HERO MOTOR CORP,FTW,DUET,VX DRS BSIV,48900,110,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.633,,
876,112791,TVS165,TVS,FTW,APACHE,RTR 160 4V,84000,160,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.633,,
